address,total_balance
0x1a9c8182c09f50c8318d769245bea52c32be35bc,382798854.5307408
0xf977814e90da44bfa03b6295a0616a897441acec,35453283.624
0x47173b170c64d16393a52e6c480b3ad8c302ba1e,23047480.513198525
0x3d30b1ab88d487b0f3061f40de76845bec3f1e94,16776071.759259261
0xbdf7347e4164ee0796d9b4f0a5f2dce9b77756b7,13254690.24284361
0x090d4613473dee047c3f2706764f49e0821d256e,12935595.004976667
0x0ec9e8aa56e0425b60dee347c8efbad959579d0f,12611331.355660912
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,11030608.653702488
0x878f0822a9e77c1dd7883e543747147be8d63c3b,10713375.91399608
0x177df24addc9a216f927d2a894ab0b6eec59eb09,9000000
0x973c877d5636e5cc6e15533ec440d52f299cdf9b,9000000
0x69c5888ecd21287fbdac5a43d1558bf73c51e38b,9000000
0x3cc3bf9b66f424a1632fac87b941cda71ad491b6,9000000
0xa29b574fea8d85b6c2a1b7071e6160212cf94097,9000000
0x030d6830dc8ff125850390da620fa3e12decd437,9000000
0xa371d95184127bf81d1e7281733eb94041e7eb8e,9000000
0xa4c9492d5f1578911756a4f8463b45482deae37a,8394924.87440129
0x7d325a9c8f10758188641fe91cfd902499edc782,8000000.121538699
0x1c1f02f1640e52b313f2d504b3c0c7ee8ad61108,8000000
0x5f246d7d19aa612d6718d27c1da1ee66859586b0,7300000
0x3b93892aceb2d2745ddb041354339239f6211d0a,7250000
0x9c980d9e5c46eaf6c1e7ddd2dcd30c1fcd9875d7,7032461
0x9d939a9bd16c1e66f37df5ad07a11b31dd63a139,7000000
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,5610000
0x89707bbfddab8f1539720ed9decc853ffe71ec2b,5000000
0xa16d450b6f3f6f7c142c5de3f65d2b0230446e01,5000000
0xd95687cb00dc47c77f7dabb5dc89d7aed72422c4,5000000
0xbb0dd3b2745fa1219ea5a305bcba8467ffc33133,5000000
0x985de23260743c2c2f09bfdec50b048c7a18c461,4892993.726950831
0x530d75828b621039979cf025072ae53b8ae4c0b0,4700000
0xfad67fbdb7d4d8569671b8aa4a09f6a90d692ed7,4501825.13615041
0x73af3bcf944a6559933396c1577b257e2054d935,4331915.87634942
0x6a18a2c1324e6ae2895c7391f73edd0bd4bc4fb1,4311814.285999999
0x83b718ef19943ffa1cba76c528d758640f5b8376,4000000
0x63b3a22c10743d4b5caca190194c2175c5659e11,3908013.211356054
0xd993a7685fd22483e801404f8cb57981190e5bde,3817856.057
0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18,3797474.7134608985
0x2ec96c9af82ddd650c0776cb0da93beaa7ce2a10,3250000.06378162
0x2fd0eb27494d7a336574919fc670c05adbf65c80,3100000
0x4141dd69146b39b7919109793e51770b822b22ac,3066496.63058683
0x5624ed8a6c7eb91cba94a02eeb2d1c24dec6732d,2900000.04994
0x7f256695627c44e423139ec172393ecdc8a3de24,2750000
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,2723139.6894946075
0xc52f8618ef7986ed7b47b4337b2249dea857ae4e,2690684.8499999996
0x64b6ebe0a55244f09dfb1e46fe59b74ab94f8be1,2597016.780334112
0x3744da57184575064838bbc87a0fc791f5e39ea2,2556153.0094765015
0x7fd805e2852113e8167c701b43ead86364e800b9,2531498
0xb93b36f305464761abdbd01d7731d4ba496fb6fb,2500001
0x193ced5710223558cd37100165fae3fa4dfcdc14,2500000.13964531
0x4c262bdb0ed4d40f1a7b85075762d6058a3b6fed,2500000
0xb944020ec109f54b9899249661cfc09049834a95,2500000
0x7cf4077393b8846bdcf60a5890878fc979c39a0a,2500000
0x201d252fa4dd34744162d1dbc9063e2b6fc7ab01,2500000
0xe066472c59535a8c2cf83f89eeb9359629ef1398,2500000
0x1442b96bfee50deee97c3d5804890adc053ea7d1,2500000
0x8608343b7987d903bb720d9425a8be54de48f1d3,2500000
0x81451ea5e6ea25829a4af736efceb9e74e09a1b3,2500000
0xe516d61ed4415f24606ddc14b3445dabf39d3498,2500000
0x51649d78ab235a934ae5c213d741fc58f2a37f91,2500000
0x67a93a3e126afd52ca06bf3b9be722820c9adfc9,2500000
0xfb6b912cf7082031822f52e7d7ef59280f97a257,2499858
